organism,drugA,drugB,drugB_pheno,period,t,mean_deviate,sem
E. coli,NIT,AMC,NS,52,38,-0.1,0.045
E. coli,NIT,AMC,NS,52,39,-0.0034,0.045
E. coli,NIT,AMC,NS,52,40,-0.0081,0.052
E. coli,NIT,AMC,NS,52,41,-0.08,0.047
E. coli,NIT,AMC,NS,52,42,0.052,0.055
E. coli,NIT,AMC,NS,52,43,-0.0035,0.051
E. coli,NIT,AMC,NS,52,44,-0.012,0.053
E. coli,NIT,AMC,NS,52,45,-0.0046,0.055
E. coli,NIT,AMC,NS,52,46,0.059,0.052
E. coli,NIT,AMC,NS,52,47,0.036,0.064
E. coli,NIT,AMC,NS,52,48,-0.095,0.045
E. coli,NIT,AMC,NS,52,49,-0.025,0.049
E. coli,NIT,AMC,NS,52,50,0.081,0.051
E. coli,NIT,AMC,NS,52,51,-0.076,0.043
E. coli,NIT,AMC,NS,52,52,-0.0098,0.057
E. coli,NIT,AMC,S,52,1,0.029,0.017
E. coli,NIT,AMC,S,52,2,0.022,0.015
E. coli,NIT,AMC,S,52,3,0.031,0.018
E. coli,NIT,AMC,S,52,4,0.05,0.017
E. coli,NIT,AMC,S,52,5,0.01,0.017
E. coli,NIT,AMC,S,52,6,0.014,0.016
E. coli,NIT,AMC,S,52,7,-0.026,0.015
E. coli,NIT,AMC,S,52,8,0.025,0.018
E. coli,NIT,AMC,S,52,9,0.007,0.015
E. coli,NIT,AMC,S,52,10,0.019,0.017
E. coli,NIT,AMC,S,52,11,0.0022,0.017
E. coli,NIT,AMC,S,52,12,0.015,0.017
E. coli,NIT,AMC,S,52,13,0.034,0.017
E. coli,NIT,AMC,S,52,14,0.0042,0.016
E. coli,NIT,AMC,S,52,15,0.0058,0.017
E. coli,NIT,AMC,S,52,16,0.0035,0.017
E. coli,NIT,AMC,S,52,17,-6e-4,0.018
E. coli,NIT,AMC,S,52,18,0.0067,0.017
E. coli,NIT,AMC,S,52,19,0.011,0.016
E. coli,NIT,AMC,S,52,20,0.023,0.016
E. coli,NIT,AMC,S,52,21,0.032,0.017
E. coli,NIT,AMC,S,52,22,-0.005,0.016
E. coli,NIT,AMC,S,52,23,0.0026,0.016
E. coli,NIT,AMC,S,52,24,-0.0096,0.015
E. coli,NIT,AMC,S,52,25,0.02,0.018
E. coli,NIT,AMC,S,52,26,-0.027,0.015
E. coli,NIT,AMC,S,52,27,-0.0065,0.017
E. coli,NIT,AMC,S,52,28,-0.04,0.014
E. coli,NIT,AMC,S,52,29,-0.034,0.016
E. coli,NIT,AMC,S,52,30,-0.01,0.015
E. coli,NIT,AMC,S,52,31,0.02,0.017
E. coli,NIT,AMC,S,52,32,-0.025,0.015
E. coli,NIT,AMC,S,52,33,-0.024,0.014
E. coli,NIT,AMC,S,52,34,-0.0097,0.016
E. coli,NIT,AMC,S,52,35,-0.023,0.016
E. coli,NIT,AMC,S,52,36,-0.023,0.015
E. coli,NIT,AMC,S,52,37,-0.051,0.013
E. coli,NIT,AMC,S,52,38,-0.016,0.016
E. coli,NIT,AMC,S,52,39,-0.021,0.015
E. coli,NIT,AMC,S,52,40,-0.04,0.013
E. coli,NIT,AMC,S,52,41,-0.017,0.016
E. coli,NIT,AMC,S,52,42,-0.0079,0.017
E. coli,NIT,AMC,S,52,43,-0.0073,0.017
E. coli,NIT,AMC,S,52,44,-0.012,0.016
E. coli,NIT,AMC,S,52,45,-0.0031,0.016
E. coli,NIT,AMC,S,52,46,0.0063,0.016
E. coli,NIT,AMC,S,52,47,-0.0067,0.018
E. coli,NIT,AMC,S,52,48,-0.0038,0.016
E. coli,NIT,AMC,S,52,49,0.034,0.017
E. coli,NIT,AMC,S,52,50,0.0031,0.016
E. coli,NIT,AMC,S,52,51,0.031,0.017
E. coli,NIT,AMC,S,52,52,-0.015,0.018
E. coli,NIT,AMP,NS,52,1,-0.0061,0.025
E. coli,NIT,AMP,NS,52,2,-0.012,0.025
E. coli,NIT,AMP,NS,52,3,0.041,0.027
E. coli,NIT,AMP,NS,52,4,0.043,0.026
E. coli,NIT,AMP,NS,52,5,0.053,0.028
E. coli,NIT,AMP,NS,52,6,0.054,0.027
E. coli,NIT,AMP,NS,52,7,-0.0097,0.026
E. coli,NIT,AMP,NS,52,8,0.025,0.027
E. coli,NIT,AMP,NS,52,9,0.014,0.025
E. coli,NIT,AMP,NS,52,10,-0.015,0.024
E. coli,NIT,AMP,NS,52,11,0.035,0.026
E. coli,NIT,AMP,NS,52,12,5.6e-5,0.024
E. coli,NIT,AMP,NS,52,13,0.017,0.027
E. coli,NIT,AMP,NS,52,14,0.023,0.025
E. coli,NIT,AMP,NS,52,15,0.023,0.025
E. coli,NIT,AMP,NS,52,16,-0.022,0.023
E. coli,NIT,AMP,NS,52,17,-0.0038,0.026
E. coli,NIT,AMP,NS,52,18,0.022,0.025
E. coli,NIT,AMP,NS,52,19,0.043,0.026
E. coli,NIT,AMP,NS,52,20,0.03,0.026
E. coli,NIT,AMP,NS,52,21,0.045,0.028
E. coli,NIT,AMP,NS,52,22,-0.012,0.024
E. coli,NIT,AMP,NS,52,23,0.048,0.027
E. coli,NIT,AMP,NS,52,24,-0.029,0.023
E. coli,NIT,AMP,NS,52,25,0.0056,0.025
E. coli,NIT,AMP,NS,52,26,-0.012,0.024
E. coli,NIT,AMP,NS,52,27,0.0037,0.026
E. coli,NIT,AMP,NS,52,28,-0.049,0.024
E. coli,NIT,AMP,NS,52,29,-0.0048,0.025
E. coli,NIT,AMP,NS,52,30,-0.0092,0.025
E. coli,NIT,AMP,NS,52,31,-0.012,0.024
E. coli,NIT,AMP,NS,52,32,-0.0054,0.025
E. coli,NIT,AMP,NS,52,33,-0.02,0.025
E. coli,NIT,AMP,NS,52,34,-0.035,0.024
E. coli,NIT,AMP,NS,52,35,-0.057,0.024
E. coli,NIT,AMP,NS,52,36,-0.0078,0.025
E. coli,NIT,AMP,NS,52,37,-0.1,0.02
E. coli,NIT,AMP,NS,52,38,-0.043,0.024
E. coli,NIT,AMP,NS,52,39,-0.0011,0.025
E. coli,NIT,AMP,NS,52,40,-0.034,0.023
E. coli,NIT,AMP,NS,52,41,0.0033,0.027
E. coli,NIT,AMP,NS,52,42,0.032,0.027
E. coli,NIT,AMP,NS,52,43,-0.0063,0.025
E. coli,NIT,AMP,NS,52,44,-0.047,0.023
E. coli,NIT,AMP,NS,52,45,-0.024,0.025
E. coli,NIT,AMP,NS,52,46,0.034,0.025
E. coli,NIT,AMP,NS,52,47,-0.0051,0.027
E. coli,NIT,AMP,NS,52,48,-0.028,0.024
E. coli,NIT,AMP,NS,52,49,0.033,0.026
E. coli,NIT,AMP,NS,52,50,-0.0011,0.023
E. coli,NIT,AMP,NS,52,51,-0.031,0.021
E. coli,NIT,AMP,NS,52,52,0.015,0.028
E. coli,NIT,AMP,S,52,1,0.048,0.018
E. coli,NIT,AMP,S,52,2,0.046,0.017
E. coli,NIT,AMP,S,52,3,0.029,0.015
E. coli,NIT,AMP,S,52,4,0.034,0.017
E. coli,NIT,AMP,S,52,5,0.0095,0.015
E. coli,NIT,AMP,S,52,6,0.015,0.016
E. coli,NIT,AMP,S,52,7,-0.0022,0.014
E. coli,NIT,AMP,S,52,8,0.014,0.016
E. coli,NIT,AMP,S,52,9,0.023,0.016
E. coli,NIT,AMP,S,52,10,0.021,0.016
E. coli,NIT,AMP,S,52,11,0.0084,0.016
E. coli,NIT,AMP,S,52,12,0.032,0.018
E. coli,NIT,AMP,S,52,13,0.034,0.016
E. coli,NIT,AMP,S,52,14,0.018,0.015
E. coli,NIT,AMP,S,52,15,-0.025,0.014
E. coli,NIT,AMP,S,52,16,0.0097,0.018
E. coli,NIT,AMP,S,52,17,-0.0093,0.016
E. coli,NIT,AMP,S,52,18,0.017,0.017
E. coli,NIT,AMP,S,52,19,0.02,0.017
E. coli,NIT,AMP,S,52,20,0.016,0.015
E. coli,NIT,AMP,S,52,21,0.029,0.017
E. coli,NIT,AMP,S,52,22,0.0094,0.016
E. coli,NIT,AMP,S,52,23,2.1e-4,0.016
E. coli,NIT,AMP,S,52,24,-0.016,0.015
E. coli,NIT,AMP,S,52,25,0.0032,0.018
E. coli,NIT,AMP,S,52,26,-0.03,0.015
E. coli,NIT,AMP,S,52,27,-0.03,0.014
E. coli,NIT,AMP,S,52,28,-0.028,0.014
E. coli,NIT,AMP,S,52,29,-0.02,0.016
E. coli,NIT,AMP,S,52,30,-0.0036,0.015
E. coli,NIT,AMP,S,52,31,-6.7e-4,0.016
E. coli,NIT,AMP,S,52,32,-0.037,0.013
E. coli,NIT,AMP,S,52,33,-0.023,0.013
E. coli,NIT,AMP,S,52,34,-0.028,0.014
E. coli,NIT,AMP,S,52,35,-0.019,0.016
E. coli,NIT,AMP,S,52,36,-0.025,0.015
E. coli,NIT,AMP,S,52,37,-0.028,0.014
E. coli,NIT,AMP,S,52,38,-0.034,0.015
E. coli,NIT,AMP,S,52,39,-0.03,0.015
E. coli,NIT,AMP,S,52,40,-0.035,0.014
E. coli,NIT,AMP,S,52,41,-0.031,0.015
E. coli,NIT,AMP,S,52,42,-0.036,0.015
E. coli,NIT,AMP,S,52,43,-0.035,0.014
E. coli,NIT,AMP,S,52,44,-0.019,0.016
E. coli,NIT,AMP,S,52,45,0.0096,0.017
E. coli,NIT,AMP,S,52,46,0.0069,0.016
E. coli,NIT,AMP,S,52,47,-0.024,0.016
E. coli,NIT,AMP,S,52,48,0.014,0.017
E. coli,NIT,AMP,S,52,49,0.031,0.018
E. coli,NIT,AMP,S,52,50,0.019,0.018
E. coli,NIT,AMP,S,52,51,0.036,0.018
E. coli,NIT,AMP,S,52,52,0.0057,0.019
K. pneumoniae,NIT,AMC,NS,52,1,0.14,0.28
K. pneumoniae,NIT,AMC,NS,52,2,0.048,0.18
K. pneumoniae,NIT,AMC,NS,52,3,0.64,0.24
K. pneumoniae,NIT,AMC,NS,52,4,-0.51,0.37
K. pneumoniae,NIT,AMC,NS,52,5,0.29,0.3
K. pneumoniae,NIT,AMC,NS,52,6,0.29,0.27
K. pneumoniae,NIT,AMC,NS,52,7,-0.4,0.36
K. pneumoniae,NIT,AMC,NS,52,8,-0.021,0.32
K. pneumoniae,NIT,AMC,NS,52,9,-0.066,0.25
K. pneumoniae,NIT,AMC,NS,52,10,0.085,0.25
K. pneumoniae,NIT,AMC,NS,52,11,0.49,0.27
K. pneumoniae,NIT,AMC,NS,52,12,-0.094,0.21
K. pneumoniae,NIT,AMC,NS,52,13,0.12,0.36
K. pneumoniae,NIT,AMC,NS,52,14,0.041,0.28
K. pneumoniae,NIT,AMC,NS,52,15,0.12,0.29
K. pneumoniae,NIT,AMC,NS,52,16,-0.25,0.47
K. pneumoniae,NIT,AMC,NS,52,17,0.47,0.2
K. pneumoniae,NIT,AMC,NS,52,18,0.065,0.27
K. pneumoniae,NIT,AMC,NS,52,19,0.16,0.32
K. pneumoniae,NIT,AMC,NS,52,20,0.33,0.31
K. pneumoniae,NIT,AMC,NS,52,21,0.042,0.25
K. pneumoniae,NIT,AMC,NS,52,22,-0.11,0.22
K. pneumoniae,NIT,AMC,NS,52,23,-0.15,0.22
K. pneumoniae,NIT,AMC,NS,52,24,0.17,0.2
K. pneumoniae,NIT,AMC,NS,52,25,-0.18,0.22
K. pneumoniae,NIT,AMC,NS,52,26,-0.14,0.27
K. pneumoniae,NIT,AMC,NS,52,27,0.17,0.24
K. pneumoniae,NIT,AMC,NS,52,28,0.33,0.22
K. pneumoniae,NIT,AMC,NS,52,29,-0.073,0.24
K. pneumoniae,NIT,AMC,NS,52,30,-0.014,0.24
K. pneumoniae,NIT,AMC,NS,52,31,-0.31,0.22
K. pneumoniae,NIT,AMC,NS,52,32,-0.095,0.25
K. pneumoniae,NIT,AMC,NS,52,33,0.097,0.22
K. pneumoniae,NIT,AMC,NS,52,34,-0.46,0.23
K. pneumoniae,NIT,AMC,NS,52,35,-0.59,0.3
K. pneumoniae,NIT,AMC,NS,52,36,-0.37,0.31
K. pneumoniae,NIT,AMC,NS,52,37,-0.11,0.22
K. pneumoniae,NIT,AMC,NS,52,38,-0.045,0.23
K. pneumoniae,NIT,AMC,NS,52,39,0.018,0.24
K. pneumoniae,NIT,AMC,NS,52,40,-0.19,0.2
K. pneumoniae,NIT,AMC,NS,52,41,0.2,0.25
K. pneumoniae,NIT,AMC,NS,52,42,-0.49,0.26
K. pneumoniae,NIT,AMC,NS,52,43,-0.34,0.31
K. pneumoniae,NIT,AMC,NS,52,44,0.25,0.21
K. pneumoniae,NIT,AMC,NS,52,45,0.15,0.29
K. pneumoniae,NIT,AMC,NS,52,46,0.034,0.34
K. pneumoniae,NIT,AMC,NS,52,47,0.083,0.27
K. pneumoniae,NIT,AMC,NS,52,48,-0.16,0.22
K. pneumoniae,NIT,AMC,NS,52,49,0.077,0.27
K. pneumoniae,NIT,AMC,NS,52,50,-0.15,0.24
K. pneumoniae,NIT,AMC,NS,52,51,-0.21,0.29
K. pneumoniae,NIT,AMC,NS,52,52,0.41,0.33
K. pneumoniae,NIT,AMC,S,52,1,0.093,0.072
K. pneumoniae,NIT,AMC,S,52,2,0.066,0.069
K. pneumoniae,NIT,AMC,S,52,3,-0.076,0.075
K. pneumoniae,NIT,AMC,S,52,4,0.016,0.07
K. pneumoniae,NIT,AMC,S,52,5,-0.028,0.075
K. pneumoniae,NIT,AMC,S,52,6,0.045,0.077
K. pneumoniae,NIT,AMC,S,52,7,0.077,0.073
K. pneumoniae,NIT,AMC,S,52,8,0.14,0.08
K. pneumoniae,NIT,AMC,S,52,9,-0.055,0.068
K. pneumoniae,NIT,AMC,S,52,10,-0.22,0.07
K. pneumoniae,NIT,AMC,S,52,11,-0.054,0.067
K. pneumoniae,NIT,AMC,S,52,12,0.057,0.07
K. pneumoniae,NIT,AMC,S,52,13,-0.085,0.075
K. pneumoniae,NIT,AMC,S,52,14,0.0034,0.072
K. pneumoniae,NIT,AMC,S,52,15,-0.1,0.079
K. pneumoniae,NIT,AMC,S,52,16,-0.1,0.075
K. pneumoniae,NIT,AMC,S,52,17,0.056,0.076
K. pneumoniae,NIT,AMC,S,52,18,-0.12,0.067
K. pneumoniae,NIT,AMC,S,52,19,-0.073,0.064
K. pneumoniae,NIT,AMC,S,52,20,-0.036,0.066
K. pneumoniae,NIT,AMC,S,52,21,0.062,0.067
K. pneumoniae,NIT,AMC,S,52,22,-0.019,0.065
K. pneumoniae,NIT,AMC,S,52,23,0.08,0.065
K. pneumoniae,NIT,AMC,S,52,24,-0.069,0.06
K. pneumoniae,NIT,AMC,S,52,25,-0.038,0.066
K. pneumoniae,NIT,AMC,S,52,26,0.018,0.06
K. pneumoniae,NIT,AMC,S,52,27,-0.14,0.065
K. pneumoniae,NIT,AMC,S,52,28,-0.024,0.065
K. pneumoniae,NIT,AMC,S,52,29,0.084,0.069
K. pneumoniae,NIT,AMC,S,52,30,-0.067,0.062
K. pneumoniae,NIT,AMC,S,52,31,0.032,0.068
K. pneumoniae,NIT,AMC,S,52,32,0.017,0.061
K. pneumoniae,NIT,AMC,S,52,33,-0.028,0.057
K. pneumoniae,NIT,AMC,S,52,34,0.081,0.062
K. pneumoniae,NIT,AMC,S,52,35,-0.05,0.059
K. pneumoniae,NIT,AMC,S,52,36,0.03,0.059
K. pneumoniae,NIT,AMC,S,52,37,0.021,0.053
K. pneumoniae,NIT,AMC,S,52,38,0.044,0.064
K. pneumoniae,NIT,AMC,S,52,39,0.1,0.058
K. pneumoniae,NIT,AMC,S,52,40,-0.071,0.062
K. pneumoniae,NIT,AMC,S,52,41,-0.016,0.07
K. pneumoniae,NIT,AMC,S,52,42,-0.051,0.059
K. pneumoniae,NIT,AMC,S,52,43,0.014,0.063
K. pneumoniae,NIT,AMC,S,52,44,0.083,0.065
K. pneumoniae,NIT,AMC,S,52,45,0.025,0.06
K. pneumoniae,NIT,AMC,S,52,46,0.076,0.065
K. pneumoniae,NIT,AMC,S,52,47,0.027,0.061
K. pneumoniae,NIT,AMC,S,52,48,0.056,0.062
K. pneumoniae,NIT,AMC,S,52,49,-0.1,0.056
K. pneumoniae,NIT,AMC,S,52,50,0.12,0.061
K. pneumoniae,NIT,AMC,S,52,51,0.083,0.066
K. pneumoniae,NIT,AMC,S,52,52,0.05,0.08
S. aureus,NIT,ERY,NS,52,1,0.0052,0.028
S. aureus,NIT,ERY,NS,52,2,0.0019,0.026
S. aureus,NIT,ERY,NS,52,3,0.026,0.027
S. aureus,NIT,ERY,NS,52,4,0.027,0.026
S. aureus,NIT,ERY,NS,52,5,0.046,0.027
S. aureus,NIT,ERY,NS,52,6,0.05,0.027
S. aureus,NIT,ERY,NS,52,7,0.035,0.027
S. aureus,NIT,ERY,NS,52,8,-0.029,0.025
S. aureus,NIT,ERY,NS,52,9,0.017,0.027
S. aureus,NIT,ERY,NS,52,10,0.061,0.025
S. aureus,NIT,ERY,NS,52,11,0.085,0.026
S. aureus,NIT,ERY,NS,52,12,0.044,0.027
S. aureus,NIT,ERY,NS,52,13,0.032,0.029
S. aureus,NIT,ERY,NS,52,14,0.1,0.028
S. aureus,NIT,ERY,NS,52,15,0.013,0.026
S. aureus,NIT,ERY,NS,52,16,0.085,0.029
S. aureus,NIT,ERY,NS,52,17,0.024,0.026
S. aureus,NIT,ERY,NS,52,18,-0.015,0.027
S. aureus,NIT,ERY,NS,52,19,-0.018,0.025
S. aureus,NIT,ERY,NS,52,20,-0.046,0.026
S. aureus,NIT,ERY,NS,52,21,-0.016,0.032
S. aureus,NIT,ERY,NS,52,22,0.0043,0.026
S. aureus,NIT,ERY,NS,52,23,0.011,0.025
S. aureus,NIT,ERY,NS,52,24,-0.037,0.027
S. aureus,NIT,ERY,NS,52,25,-0.054,0.028
S. aureus,NIT,ERY,NS,52,26,-0.079,0.024
S. aureus,NIT,ERY,NS,52,27,-0.11,0.027
S. aureus,NIT,ERY,NS,52,28,-0.025,0.025
S. aureus,NIT,ERY,NS,52,29,-0.033,0.025
S. aureus,NIT,ERY,NS,52,30,-0.019,0.024
S. aureus,NIT,ERY,NS,52,31,0.016,0.027
S. aureus,NIT,ERY,NS,52,32,-0.08,0.024
S. aureus,NIT,ERY,NS,52,33,-0.052,0.025
S. aureus,NIT,ERY,NS,52,34,-0.05,0.027
S. aureus,NIT,ERY,NS,52,35,-0.1,0.027
S. aureus,NIT,ERY,NS,52,36,-0.098,0.026
S. aureus,NIT,ERY,NS,52,37,0.013,0.023
S. aureus,NIT,ERY,NS,52,38,0.0015,0.024
S. aureus,NIT,ERY,NS,52,39,0.019,0.026
S. aureus,NIT,ERY,NS,52,40,0.072,0.028
S. aureus,NIT,ERY,NS,52,41,0.027,0.027
S. aureus,NIT,ERY,NS,52,42,3.9e-4,0.025
S. aureus,NIT,ERY,NS,52,43,-0.0063,0.026
S. aureus,NIT,ERY,NS,52,44,0.012,0.026
S. aureus,NIT,ERY,NS,52,45,-0.0071,0.025
S. aureus,NIT,ERY,NS,52,46,-0.031,0.026
S. aureus,NIT,ERY,NS,52,47,0.014,0.027
S. aureus,NIT,ERY,NS,52,48,0.069,0.027
S. aureus,NIT,ERY,NS,52,49,0.054,0.027
S. aureus,NIT,ERY,NS,52,50,0.013,0.026
S. aureus,NIT,ERY,NS,52,51,-0.078,0.027
S. aureus,NIT,ERY,NS,52,52,-0.013,0.028
S. aureus,NIT,ERY,S,52,1,0.031,0.033
S. aureus,NIT,ERY,S,52,2,-0.0097,0.029
S. aureus,NIT,ERY,S,52,3,-0.016,0.03
S. aureus,NIT,ERY,S,52,4,0.033,0.029
S. aureus,NIT,ERY,S,52,5,0.0037,0.031
S. aureus,NIT,ERY,S,52,6,-0.0015,0.031
S. aureus,NIT,ERY,S,52,7,0.056,0.032
S. aureus,NIT,ERY,S,52,8,0.048,0.033
S. aureus,NIT,ERY,S,52,9,-0.017,0.03
S. aureus,NIT,ERY,S,52,10,-0.0038,0.031
S. aureus,NIT,ERY,S,52,11,0.038,0.031
S. aureus,NIT,ERY,S,52,12,0.027,0.031
S. aureus,NIT,ERY,S,52,13,-0.0043,0.03
S. aureus,NIT,ERY,S,52,14,0.065,0.03
S. aureus,NIT,ERY,S,52,15,0.007,0.03
S. aureus,NIT,ERY,S,52,16,0.072,0.03
S. aureus,NIT,ERY,S,52,17,0.017,0.033
S. aureus,NIT,ERY,S,52,18,0.022,0.03
S. aureus,NIT,ERY,S,52,19,0.011,0.03
S. aureus,NIT,ERY,S,52,20,0.03,0.03
S. aureus,NIT,ERY,S,52,21,9.9e-4,0.03
S. aureus,NIT,ERY,S,52,22,-0.057,0.029
S. aureus,NIT,ERY,S,52,23,0.048,0.027
S. aureus,NIT,ERY,S,52,24,-0.041,0.028
S. aureus,NIT,ERY,S,52,25,0.039,0.03
S. aureus,NIT,ERY,S,52,26,-0.045,0.028
S. aureus,NIT,ERY,S,52,27,-0.061,0.03
S. aureus,NIT,ERY,S,52,28,-0.058,0.027
S. aureus,NIT,ERY,S,52,29,-0.037,0.028
S. aureus,NIT,ERY,S,52,30,0.017,0.029
S. aureus,NIT,ERY,S,52,31,-0.0091,0.027
S. aureus,NIT,ERY,S,52,32,-0.048,0.027
S. aureus,NIT,ERY,S,52,33,-0.018,0.028
S. aureus,NIT,ERY,S,52,34,-0.0033,0.029
S. aureus,NIT,ERY,S,52,35,-0.092,0.029
S. aureus,NIT,ERY,S,52,36,-0.023,0.027
S. aureus,NIT,ERY,S,52,37,-0.02,0.028
S. aureus,NIT,ERY,S,52,38,0.021,0.028
S. aureus,NIT,ERY,S,52,39,0.0049,0.029
S. aureus,NIT,ERY,S,52,40,0.034,0.028
S. aureus,NIT,ERY,S,52,41,0.022,0.029
S. aureus,NIT,ERY,S,52,42,-0.052,0.028
S. aureus,NIT,ERY,S,52,43,-0.054,0.027
S. aureus,NIT,ERY,S,52,44,-0.036,0.03
S. aureus,NIT,ERY,S,52,45,0.039,0.029
S. aureus,NIT,ERY,S,52,46,0.043,0.031
S. aureus,NIT,ERY,S,52,47,-0.04,0.031
S. aureus,NIT,ERY,S,52,48,0.03,0.03
S. aureus,NIT,ERY,S,52,49,0.047,0.029
S. aureus,NIT,ERY,S,52,50,0.012,0.03
S. aureus,NIT,ERY,S,52,51,-0.059,0.027
S. aureus,NIT,ERY,S,52,52,-0.026,0.032
S. aureus,NIT,OXA,NS,52,1,0.01,0.034
S. aureus,NIT,OXA,NS,52,2,0.0072,0.032
S. aureus,NIT,OXA,NS,52,3,0.037,0.032
S. aureus,NIT,OXA,NS,52,4,0.054,0.032
S. aureus,NIT,OXA,NS,52,5,0.057,0.032
S. aureus,NIT,OXA,NS,52,6,4.8e-4,0.033
S. aureus,NIT,OXA,NS,52,7,0.015,0.033
S. aureus,NIT,OXA,NS,52,8,-0.045,0.031
S. aureus,NIT,OXA,NS,52,9,0.0036,0.032
S. aureus,NIT,OXA,NS,52,10,0.065,0.03
S. aureus,NIT,OXA,NS,52,11,0.059,0.031
S. aureus,NIT,OXA,NS,52,12,0.058,0.033
S. aureus,NIT,OXA,NS,52,13,0.012,0.034
S. aureus,NIT,OXA,NS,52,14,0.066,0.035
S. aureus,NIT,OXA,NS,52,15,0.026,0.031
S. aureus,NIT,OXA,NS,52,16,0.064,0.035
S. aureus,NIT,OXA,NS,52,17,0.03,0.031
S. aureus,NIT,OXA,NS,52,18,0.0017,0.035
S. aureus,NIT,OXA,NS,52,19,-0.054,0.031
S. aureus,NIT,OXA,NS,52,20,-0.061,0.032
S. aureus,NIT,OXA,NS,52,21,-0.0048,0.047
S. aureus,NIT,OXA,NS,52,22,-0.015,0.032
S. aureus,NIT,OXA,NS,52,23,0.011,0.031
S. aureus,NIT,OXA,NS,52,24,-0.05,0.03
S. aureus,NIT,OXA,NS,52,25,-0.062,0.036
S. aureus,NIT,OXA,NS,52,26,-0.11,0.03
S. aureus,NIT,OXA,NS,52,27,-0.11,0.034
S. aureus,NIT,OXA,NS,52,28,-0.048,0.03
S. aureus,NIT,OXA,NS,52,29,-0.029,0.03
S. aureus,NIT,OXA,NS,52,30,0.011,0.028
S. aureus,NIT,OXA,NS,52,31,5.7e-4,0.031
S. aureus,NIT,OXA,NS,52,32,-0.083,0.03
S. aureus,NIT,OXA,NS,52,33,-0.0038,0.031
S. aureus,NIT,OXA,NS,52,34,-0.071,0.033
S. aureus,NIT,OXA,NS,52,35,-0.084,0.033
S. aureus,NIT,OXA,NS,52,36,-0.12,0.031
S. aureus,NIT,OXA,NS,52,37,0.0094,0.027
S. aureus,NIT,OXA,NS,52,38,0.033,0.028
S. aureus,NIT,OXA,NS,52,39,0.039,0.031
S. aureus,NIT,OXA,NS,52,40,0.098,0.033
S. aureus,NIT,OXA,NS,52,41,0.057,0.031
S. aureus,NIT,OXA,NS,52,42,-0.019,0.032
S. aureus,NIT,OXA,NS,52,43,-0.0041,0.031
S. aureus,NIT,OXA,NS,52,44,-0.0041,0.032
S. aureus,NIT,OXA,NS,52,45,0.0082,0.03
S. aureus,NIT,OXA,NS,52,46,-0.011,0.033
S. aureus,NIT,OXA,NS,52,47,0.0066,0.03
S. aureus,NIT,OXA,NS,52,48,0.087,0.035
S. aureus,NIT,OXA,NS,52,49,0.085,0.032
S. aureus,NIT,OXA,NS,52,50,0.031,0.031
S. aureus,NIT,OXA,NS,52,51,-0.05,0.033
S. aureus,NIT,OXA,NS,52,52,-0.036,0.033
S. aureus,NIT,OXA,S,52,1,0.025,0.028
S. aureus,NIT,OXA,S,52,2,-0.015,0.024
S. aureus,NIT,OXA,S,52,3,-0.015,0.026
S. aureus,NIT,OXA,S,52,4,0.013,0.024
S. aureus,NIT,OXA,S,52,5,0.016,0.027
