organism,drugA,drugB,drugB_pheno,period,t,mean_deviate,sem
E. coli,CIP,AMC,NS,52,48,-0.0085,0.11
E. coli,CIP,AMC,NS,52,49,-0.19,0.098
E. coli,CIP,AMC,NS,52,50,0.036,0.097
E. coli,CIP,AMC,NS,52,51,-0.014,0.096
E. coli,CIP,AMC,NS,52,52,0.023,0.11
E. coli,CIP,AMC,S,52,1,-0.022,0.038
E. coli,CIP,AMC,S,52,2,0.049,0.037
E. coli,CIP,AMC,S,52,3,0.051,0.04
E. coli,CIP,AMC,S,52,4,0.072,0.039
E. coli,CIP,AMC,S,52,5,-0.009,0.038
E. coli,CIP,AMC,S,52,6,-0.011,0.038
E. coli,CIP,AMC,S,52,7,0.064,0.041
E. coli,CIP,AMC,S,52,8,0.047,0.039
E. coli,CIP,AMC,S,52,9,0.031,0.038
E. coli,CIP,AMC,S,52,10,0.036,0.039
E. coli,CIP,AMC,S,52,11,0.02,0.038
E. coli,CIP,AMC,S,52,12,0.11,0.04
E. coli,CIP,AMC,S,52,13,0.077,0.04
E. coli,CIP,AMC,S,52,14,0.0055,0.038
E. coli,CIP,AMC,S,52,15,0.063,0.039
E. coli,CIP,AMC,S,52,16,0.056,0.04
E. coli,CIP,AMC,S,52,17,0.031,0.039
E. coli,CIP,AMC,S,52,18,0.014,0.037
E. coli,CIP,AMC,S,52,19,0.021,0.037
E. coli,CIP,AMC,S,52,20,0.033,0.037
E. coli,CIP,AMC,S,52,21,0.078,0.04
E. coli,CIP,AMC,S,52,22,0.069,0.038
E. coli,CIP,AMC,S,52,23,0.032,0.036
E. coli,CIP,AMC,S,52,24,-0.016,0.036
E. coli,CIP,AMC,S,52,25,0.051,0.038
E. coli,CIP,AMC,S,52,26,-0.038,0.035
E. coli,CIP,AMC,S,52,27,0.0074,0.039
E. coli,CIP,AMC,S,52,28,0.028,0.035
E. coli,CIP,AMC,S,52,29,0.019,0.036
E. coli,CIP,AMC,S,52,30,-0.056,0.035
E. coli,CIP,AMC,S,52,31,-0.061,0.034
E. coli,CIP,AMC,S,52,32,-0.079,0.033
E. coli,CIP,AMC,S,52,33,-0.083,0.034
E. coli,CIP,AMC,S,52,34,-0.053,0.036
E. coli,CIP,AMC,S,52,35,-0.05,0.036
E. coli,CIP,AMC,S,52,36,-0.12,0.034
E. coli,CIP,AMC,S,52,37,-0.084,0.033
E. coli,CIP,AMC,S,52,38,-0.088,0.033
E. coli,CIP,AMC,S,52,39,-0.05,0.034
E. coli,CIP,AMC,S,52,40,-0.058,0.034
E. coli,CIP,AMC,S,52,41,0.016,0.036
E. coli,CIP,AMC,S,52,42,0.015,0.035
E. coli,CIP,AMC,S,52,43,0.024,0.036
E. coli,CIP,AMC,S,52,44,-0.035,0.036
E. coli,CIP,AMC,S,52,45,-0.012,0.036
E. coli,CIP,AMC,S,52,46,-0.058,0.035
E. coli,CIP,AMC,S,52,47,-0.034,0.038
E. coli,CIP,AMC,S,52,48,-0.065,0.037
E. coli,CIP,AMC,S,52,49,-0.04,0.036
E. coli,CIP,AMC,S,52,50,0.049,0.037
E. coli,CIP,AMC,S,52,51,-0.025,0.037
E. coli,CIP,AMC,S,52,52,-0.04,0.042
E. coli,CIP,AMP,NS,52,1,0.03,0.058
E. coli,CIP,AMP,NS,52,2,0.088,0.057
E. coli,CIP,AMP,NS,52,3,-0.023,0.059
E. coli,CIP,AMP,NS,52,4,0.0092,0.057
E. coli,CIP,AMP,NS,52,5,-0.035,0.056
E. coli,CIP,AMP,NS,52,6,2.2e-4,0.058
E. coli,CIP,AMP,NS,52,7,0.12,0.059
E. coli,CIP,AMP,NS,52,8,-0.021,0.057
E. coli,CIP,AMP,NS,52,9,-0.032,0.056
E. coli,CIP,AMP,NS,52,10,0.11,0.056
E. coli,CIP,AMP,NS,52,11,-0.042,0.056
E. coli,CIP,AMP,NS,52,12,0.079,0.057
E. coli,CIP,AMP,NS,52,13,0.1,0.057
E. coli,CIP,AMP,NS,52,14,0.057,0.057
E. coli,CIP,AMP,NS,52,15,0.073,0.056
E. coli,CIP,AMP,NS,52,16,0.04,0.056
E. coli,CIP,AMP,NS,52,17,-0.0053,0.056
E. coli,CIP,AMP,NS,52,18,0.0074,0.055
E. coli,CIP,AMP,NS,52,19,0.034,0.056
E. coli,CIP,AMP,NS,52,20,0.04,0.055
E. coli,CIP,AMP,NS,52,21,0.13,0.058
E. coli,CIP,AMP,NS,52,22,0.034,0.055
E. coli,CIP,AMP,NS,52,23,0.036,0.054
E. coli,CIP,AMP,NS,52,24,-0.023,0.054
E. coli,CIP,AMP,NS,52,25,0.062,0.056
E. coli,CIP,AMP,NS,52,26,-0.07,0.054
E. coli,CIP,AMP,NS,52,27,0.014,0.058
E. coli,CIP,AMP,NS,52,28,-0.053,0.053
E. coli,CIP,AMP,NS,52,29,0.02,0.055
E. coli,CIP,AMP,NS,52,30,0.044,0.055
E. coli,CIP,AMP,NS,52,31,-0.045,0.054
E. coli,CIP,AMP,NS,52,32,-0.096,0.053
E. coli,CIP,AMP,NS,52,33,-0.022,0.057
E. coli,CIP,AMP,NS,52,34,0.014,0.056
E. coli,CIP,AMP,NS,52,35,-0.064,0.054
E. coli,CIP,AMP,NS,52,36,-0.098,0.054
E. coli,CIP,AMP,NS,52,37,-0.098,0.052
E. coli,CIP,AMP,NS,52,38,-0.082,0.053
E. coli,CIP,AMP,NS,52,39,0.017,0.053
E. coli,CIP,AMP,NS,52,40,-0.041,0.053
E. coli,CIP,AMP,NS,52,41,-0.058,0.054
E. coli,CIP,AMP,NS,52,42,-0.014,0.051
E. coli,CIP,AMP,NS,52,43,0.018,0.053
E. coli,CIP,AMP,NS,52,44,-0.073,0.054
E. coli,CIP,AMP,NS,52,45,0.016,0.055
E. coli,CIP,AMP,NS,52,46,-0.039,0.054
E. coli,CIP,AMP,NS,52,47,-0.093,0.056
E. coli,CIP,AMP,NS,52,48,-0.028,0.058
E. coli,CIP,AMP,NS,52,49,-0.042,0.055
E. coli,CIP,AMP,NS,52,50,0.053,0.054
E. coli,CIP,AMP,NS,52,51,-0.044,0.053
E. coli,CIP,AMP,NS,52,52,-0.0026,0.063
E. coli,CIP,AMP,S,52,1,-0.061,0.023
E. coli,CIP,AMP,S,52,2,-0.015,0.025
E. coli,CIP,AMP,S,52,3,0.051,0.029
E. coli,CIP,AMP,S,52,4,0.063,0.029
E. coli,CIP,AMP,S,52,5,-7.7e-4,0.027
E. coli,CIP,AMP,S,52,6,0.035,0.029
E. coli,CIP,AMP,S,52,7,0.016,0.029
E. coli,CIP,AMP,S,52,8,0.01,0.028
E. coli,CIP,AMP,S,52,9,0.088,0.031
E. coli,CIP,AMP,S,52,10,-0.0097,0.027
E. coli,CIP,AMP,S,52,11,0.052,0.029
E. coli,CIP,AMP,S,52,12,0.035,0.028
E. coli,CIP,AMP,S,52,13,0.041,0.029
E. coli,CIP,AMP,S,52,14,0.0039,0.026
E. coli,CIP,AMP,S,52,15,0.019,0.028
E. coli,CIP,AMP,S,52,16,-0.0022,0.028
E. coli,CIP,AMP,S,52,17,0.014,0.027
E. coli,CIP,AMP,S,52,18,0.013,0.027
E. coli,CIP,AMP,S,52,19,0.032,0.028
E. coli,CIP,AMP,S,52,20,0.0075,0.027
E. coli,CIP,AMP,S,52,21,0.019,0.028
E. coli,CIP,AMP,S,52,22,0.0045,0.027
E. coli,CIP,AMP,S,52,23,-0.029,0.024
E. coli,CIP,AMP,S,52,24,-0.028,0.025
E. coli,CIP,AMP,S,52,25,0.025,0.027
E. coli,CIP,AMP,S,52,26,-0.034,0.024
E. coli,CIP,AMP,S,52,27,0.051,0.031
E. coli,CIP,AMP,S,52,28,0.05,0.027
E. coli,CIP,AMP,S,52,29,0.019,0.027
E. coli,CIP,AMP,S,52,30,-0.038,0.024
E. coli,CIP,AMP,S,52,31,-0.056,0.023
E. coli,CIP,AMP,S,52,32,-0.022,0.024
E. coli,CIP,AMP,S,52,33,-0.031,0.024
E. coli,CIP,AMP,S,52,34,-0.0069,0.025
E. coli,CIP,AMP,S,52,35,-0.047,0.025
E. coli,CIP,AMP,S,52,36,-0.011,0.026
E. coli,CIP,AMP,S,52,37,-0.02,0.025
E. coli,CIP,AMP,S,52,38,-0.079,0.022
E. coli,CIP,AMP,S,52,39,-0.034,0.024
E. coli,CIP,AMP,S,52,40,-0.028,0.025
E. coli,CIP,AMP,S,52,41,0.0025,0.027
E. coli,CIP,AMP,S,52,42,0.0031,0.026
E. coli,CIP,AMP,S,52,43,0.0033,0.026
E. coli,CIP,AMP,S,52,44,-0.03,0.026
E. coli,CIP,AMP,S,52,45,0.017,0.027
E. coli,CIP,AMP,S,52,46,-0.028,0.025
E. coli,CIP,AMP,S,52,47,-0.0025,0.028
E. coli,CIP,AMP,S,52,48,-0.024,0.026
E. coli,CIP,AMP,S,52,49,-0.02,0.026
E. coli,CIP,AMP,S,52,50,0.0011,0.027
E. coli,CIP,AMP,S,52,51,0.0014,0.028
E. coli,CIP,AMP,S,52,52,-0.024,0.03
K. pneumoniae,CIP,AMC,NS,52,1,0.12,0.26
K. pneumoniae,CIP,AMC,NS,52,2,0.063,0.24
K. pneumoniae,CIP,AMC,NS,52,3,0.25,0.22
K. pneumoniae,CIP,AMC,NS,52,4,-0.34,0.33
K. pneumoniae,CIP,AMC,NS,52,5,0.76,0.18
K. pneumoniae,CIP,AMC,NS,52,6,0.2,0.28
K. pneumoniae,CIP,AMC,NS,52,7,0.16,0.28
K. pneumoniae,CIP,AMC,NS,52,8,-0.049,0.27
K. pneumoniae,CIP,AMC,NS,52,9,0.13,0.29
K. pneumoniae,CIP,AMC,NS,52,10,0.11,0.28
K. pneumoniae,CIP,AMC,NS,52,11,0.11,0.29
K. pneumoniae,CIP,AMC,NS,52,12,-0.11,0.25
K. pneumoniae,CIP,AMC,NS,52,13,0.22,0.28
K. pneumoniae,CIP,AMC,NS,52,14,-0.43,0.26
K. pneumoniae,CIP,AMC,NS,52,15,-0.13,0.29
K. pneumoniae,CIP,AMC,NS,52,16,0.19,0.3
K. pneumoniae,CIP,AMC,NS,52,17,0.095,0.22
K. pneumoniae,CIP,AMC,NS,52,18,0.063,0.24
K. pneumoniae,CIP,AMC,NS,52,19,-0.11,0.28
K. pneumoniae,CIP,AMC,NS,52,20,-0.44,0.28
K. pneumoniae,CIP,AMC,NS,52,21,0.15,0.23
K. pneumoniae,CIP,AMC,NS,52,22,-0.63,0.27
K. pneumoniae,CIP,AMC,NS,52,23,-0.077,0.25
K. pneumoniae,CIP,AMC,NS,52,24,0.035,0.27
K. pneumoniae,CIP,AMC,NS,52,25,-0.14,0.23
K. pneumoniae,CIP,AMC,NS,52,26,-0.47,0.3
K. pneumoniae,CIP,AMC,NS,52,27,-0.43,0.27
K. pneumoniae,CIP,AMC,NS,52,28,0.4,0.19
K. pneumoniae,CIP,AMC,NS,52,29,-0.1,0.25
K. pneumoniae,CIP,AMC,NS,52,30,-0.12,0.25
K. pneumoniae,CIP,AMC,NS,52,31,-0.085,0.24
K. pneumoniae,CIP,AMC,NS,52,32,0.05,0.22
K. pneumoniae,CIP,AMC,NS,52,33,-0.17,0.26
K. pneumoniae,CIP,AMC,NS,52,34,0.13,0.21
K. pneumoniae,CIP,AMC,NS,52,35,-0.22,0.23
K. pneumoniae,CIP,AMC,NS,52,36,-0.024,0.24
K. pneumoniae,CIP,AMC,NS,52,37,-0.26,0.26
K. pneumoniae,CIP,AMC,NS,52,38,0.088,0.22
K. pneumoniae,CIP,AMC,NS,52,39,-0.3,0.26
K. pneumoniae,CIP,AMC,NS,52,40,0.29,0.2
K. pneumoniae,CIP,AMC,NS,52,41,0.58,0.21
K. pneumoniae,CIP,AMC,NS,52,42,-0.19,0.29
K. pneumoniae,CIP,AMC,NS,52,43,-0.41,0.27
K. pneumoniae,CIP,AMC,NS,52,44,0.31,0.2
K. pneumoniae,CIP,AMC,NS,52,45,0.074,0.25
K. pneumoniae,CIP,AMC,NS,52,46,0.36,0.24
K. pneumoniae,CIP,AMC,NS,52,47,0.055,0.25
K. pneumoniae,CIP,AMC,NS,52,48,0.009,0.23
K. pneumoniae,CIP,AMC,NS,52,49,0.38,0.23
K. pneumoniae,CIP,AMC,NS,52,50,-0.039,0.25
K. pneumoniae,CIP,AMC,NS,52,51,0.12,0.23
K. pneumoniae,CIP,AMC,NS,52,52,0.4,0.2
K. pneumoniae,CIP,AMC,S,52,1,0.049,0.056
K. pneumoniae,CIP,AMC,S,52,2,-0.032,0.05
K. pneumoniae,CIP,AMC,S,52,3,0.039,0.057
K. pneumoniae,CIP,AMC,S,52,4,0.047,0.056
K. pneumoniae,CIP,AMC,S,52,5,-0.016,0.05
K. pneumoniae,CIP,AMC,S,52,6,0.038,0.058
K. pneumoniae,CIP,AMC,S,52,7,-0.016,0.055
K. pneumoniae,CIP,AMC,S,52,8,0.058,0.06
K. pneumoniae,CIP,AMC,S,52,9,-0.096,0.044
K. pneumoniae,CIP,AMC,S,52,10,-0.036,0.048
K. pneumoniae,CIP,AMC,S,52,11,-0.032,0.052
K. pneumoniae,CIP,AMC,S,52,12,0.056,0.057
K. pneumoniae,CIP,AMC,S,52,13,0.016,0.052
K. pneumoniae,CIP,AMC,S,52,14,0.11,0.062
K. pneumoniae,CIP,AMC,S,52,15,0.0059,0.051
K. pneumoniae,CIP,AMC,S,52,16,-0.044,0.049
K. pneumoniae,CIP,AMC,S,52,17,0.021,0.054
K. pneumoniae,CIP,AMC,S,52,18,-0.047,0.047
K. pneumoniae,CIP,AMC,S,52,19,-0.0053,0.045
K. pneumoniae,CIP,AMC,S,52,20,0.017,0.05
K. pneumoniae,CIP,AMC,S,52,21,-0.05,0.048
K. pneumoniae,CIP,AMC,S,52,22,-0.013,0.044
K. pneumoniae,CIP,AMC,S,52,23,0.058,0.049
K. pneumoniae,CIP,AMC,S,52,24,-0.11,0.035
K. pneumoniae,CIP,AMC,S,52,25,0.046,0.046
K. pneumoniae,CIP,AMC,S,52,26,0.049,0.046
K. pneumoniae,CIP,AMC,S,52,27,-0.037,0.042
K. pneumoniae,CIP,AMC,S,52,28,-0.02,0.041
K. pneumoniae,CIP,AMC,S,52,29,0.023,0.046
K. pneumoniae,CIP,AMC,S,52,30,-9.5e-4,0.041
K. pneumoniae,CIP,AMC,S,52,31,0.052,0.048
K. pneumoniae,CIP,AMC,S,52,32,0.018,0.041
K. pneumoniae,CIP,AMC,S,52,33,-0.056,0.034
K. pneumoniae,CIP,AMC,S,52,34,-0.011,0.039
K. pneumoniae,CIP,AMC,S,52,35,-0.065,0.035
K. pneumoniae,CIP,AMC,S,52,36,0.071,0.046
K. pneumoniae,CIP,AMC,S,52,37,-0.015,0.039
K. pneumoniae,CIP,AMC,S,52,38,-0.0046,0.041
K. pneumoniae,CIP,AMC,S,52,39,-0.035,0.037
K. pneumoniae,CIP,AMC,S,52,40,0.032,0.045
K. pneumoniae,CIP,AMC,S,52,41,-0.036,0.041
K. pneumoniae,CIP,AMC,S,52,42,-0.061,0.038
K. pneumoniae,CIP,AMC,S,52,43,-0.027,0.042
K. pneumoniae,CIP,AMC,S,52,44,0.021,0.045
K. pneumoniae,CIP,AMC,S,52,45,-0.045,0.037
K. pneumoniae,CIP,AMC,S,52,46,0.02,0.045
K. pneumoniae,CIP,AMC,S,52,47,0.013,0.045
K. pneumoniae,CIP,AMC,S,52,48,-0.056,0.042
K. pneumoniae,CIP,AMC,S,52,49,-0.043,0.041
K. pneumoniae,CIP,AMC,S,52,50,0.025,0.045
K. pneumoniae,CIP,AMC,S,52,51,-0.0096,0.041
K. pneumoniae,CIP,AMC,S,52,52,0.13,0.063
S. aureus,CIP,ERY,NS,52,1,0.16,0.092
S. aureus,CIP,ERY,NS,52,2,0.14,0.089
S. aureus,CIP,ERY,NS,52,3,0.067,0.089
S. aureus,CIP,ERY,NS,52,4,0.07,0.09
S. aureus,CIP,ERY,NS,52,5,0.0014,0.092
S. aureus,CIP,ERY,NS,52,6,0.13,0.092
S. aureus,CIP,ERY,NS,52,7,0.13,0.092
S. aureus,CIP,ERY,NS,52,8,0.16,0.087
S. aureus,CIP,ERY,NS,52,9,-0.01,0.094
S. aureus,CIP,ERY,NS,52,10,-0.0045,0.087
S. aureus,CIP,ERY,NS,52,11,0.12,0.087
S. aureus,CIP,ERY,NS,52,12,0.22,0.089
S. aureus,CIP,ERY,NS,52,13,0.054,0.092
S. aureus,CIP,ERY,NS,52,14,-0.022,0.094
S. aureus,CIP,ERY,NS,52,15,-0.025,0.09
S. aureus,CIP,ERY,NS,52,16,0.063,0.094
S. aureus,CIP,ERY,NS,52,17,0.058,0.09
S. aureus,CIP,ERY,NS,52,18,0.05,0.088
S. aureus,CIP,ERY,NS,52,19,0.036,0.086
S. aureus,CIP,ERY,NS,52,20,-0.0075,0.093
S. aureus,CIP,ERY,NS,52,21,-0.13,0.088
S. aureus,CIP,ERY,NS,52,22,0.027,0.091
S. aureus,CIP,ERY,NS,52,23,0.0052,0.086
S. aureus,CIP,ERY,NS,52,24,-0.13,0.091
S. aureus,CIP,ERY,NS,52,25,-0.022,0.093
S. aureus,CIP,ERY,NS,52,26,-0.087,0.086
S. aureus,CIP,ERY,NS,52,27,0.035,0.092
S. aureus,CIP,ERY,NS,52,28,-0.061,0.083
S. aureus,CIP,ERY,NS,52,29,-0.043,0.084
S. aureus,CIP,ERY,NS,52,30,-0.071,0.082
S. aureus,CIP,ERY,NS,52,31,-0.073,0.087
S. aureus,CIP,ERY,NS,52,32,-0.12,0.086
S. aureus,CIP,ERY,NS,52,33,-0.07,0.083
S. aureus,CIP,ERY,NS,52,34,-0.27,0.088
S. aureus,CIP,ERY,NS,52,35,0.017,0.089
S. aureus,CIP,ERY,NS,52,36,-0.19,0.087
S. aureus,CIP,ERY,NS,52,37,-0.093,0.081
S. aureus,CIP,ERY,NS,52,38,-0.13,0.083
S. aureus,CIP,ERY,NS,52,39,-0.073,0.086
S. aureus,CIP,ERY,NS,52,40,0.054,0.089
S. aureus,CIP,ERY,NS,52,41,-0.2,0.09
S. aureus,CIP,ERY,NS,52,42,-0.11,0.084
S. aureus,CIP,ERY,NS,52,43,-0.017,0.087
S. aureus,CIP,ERY,NS,52,44,0.041,0.091
S. aureus,CIP,ERY,NS,52,45,0.031,0.087
S. aureus,CIP,ERY,NS,52,46,-0.044,0.086
S. aureus,CIP,ERY,NS,52,47,-0.083,0.093
S. aureus,CIP,ERY,NS,52,48,0.096,0.092
S. aureus,CIP,ERY,NS,52,49,0.15,0.089
S. aureus,CIP,ERY,NS,52,50,0.0021,0.088
S. aureus,CIP,ERY,NS,52,51,0.048,0.091
S. aureus,CIP,ERY,NS,52,52,0.1,0.097
S. aureus,CIP,ERY,S,52,1,-0.076,0.043
S. aureus,CIP,ERY,S,52,2,-0.023,0.045
S. aureus,CIP,ERY,S,52,3,-0.0048,0.049
S. aureus,CIP,ERY,S,52,4,3.4e-4,0.047
S. aureus,CIP,ERY,S,52,5,0.025,0.051
S. aureus,CIP,ERY,S,52,6,-0.041,0.044
S. aureus,CIP,ERY,S,52,7,-0.091,0.042
S. aureus,CIP,ERY,S,52,8,0.11,0.057
S. aureus,CIP,ERY,S,52,9,0.014,0.049
S. aureus,CIP,ERY,S,52,10,0.075,0.054
S. aureus,CIP,ERY,S,52,11,-0.055,0.046
S. aureus,CIP,ERY,S,52,12,0.051,0.052
S. aureus,CIP,ERY,S,52,13,-0.03,0.044
S. aureus,CIP,ERY,S,52,14,-0.019,0.046
S. aureus,CIP,ERY,S,52,15,-0.076,0.041
S. aureus,CIP,ERY,S,52,16,0.0087,0.05
S. aureus,CIP,ERY,S,52,17,0.061,0.056
S. aureus,CIP,ERY,S,52,18,0.027,0.048
S. aureus,CIP,ERY,S,52,19,-0.0034,0.045
S. aureus,CIP,ERY,S,52,20,0.067,0.051
S. aureus,CIP,ERY,S,52,21,-0.077,0.04
S. aureus,CIP,ERY,S,52,22,-0.069,0.039
S. aureus,CIP,ERY,S,52,23,-0.011,0.042
S. aureus,CIP,ERY,S,52,24,0.058,0.049
S. aureus,CIP,ERY,S,52,25,0.024,0.046
S. aureus,CIP,ERY,S,52,26,0.0051,0.042
S. aureus,CIP,ERY,S,52,27,-0.069,0.04
S. aureus,CIP,ERY,S,52,28,-0.052,0.039
S. aureus,CIP,ERY,S,52,29,-0.032,0.042
S. aureus,CIP,ERY,S,52,30,0.016,0.042
S. aureus,CIP,ERY,S,52,31,0.046,0.046
S. aureus,CIP,ERY,S,52,32,0.031,0.042
S. aureus,CIP,ERY,S,52,33,-0.0092,0.041
S. aureus,CIP,ERY,S,52,34,0.036,0.046
S. aureus,CIP,ERY,S,52,35,0.058,0.05
S. aureus,CIP,ERY,S,52,36,-0.0021,0.043
S. aureus,CIP,ERY,S,52,37,0.0074,0.043
S. aureus,CIP,ERY,S,52,38,0.078,0.049
S. aureus,CIP,ERY,S,52,39,7e-4,0.043
S. aureus,CIP,ERY,S,52,40,-0.029,0.042
S. aureus,CIP,ERY,S,52,41,-0.036,0.041
S. aureus,CIP,ERY,S,52,42,-0.0065,0.044
S. aureus,CIP,ERY,S,52,43,4.2e-4,0.043
S. aureus,CIP,ERY,S,52,44,0.0078,0.043
S. aureus,CIP,ERY,S,52,45,0.063,0.05
S. aureus,CIP,ERY,S,52,46,0.011,0.045
S. aureus,CIP,ERY,S,52,47,-0.035,0.045
S. aureus,CIP,ERY,S,52,48,-0.04,0.042
S. aureus,CIP,ERY,S,52,49,0.023,0.046
S. aureus,CIP,ERY,S,52,50,-0.033,0.042
S. aureus,CIP,ERY,S,52,51,0.0083,0.043
S. aureus,CIP,ERY,S,52,52,-0.039,0.046
S. aureus,CIP,OXA,NS,52,1,0.22,0.1
S. aureus,CIP,OXA,NS,52,2,-0.012,0.1
S. aureus,CIP,OXA,NS,52,3,0.11,0.098
S. aureus,CIP,OXA,NS,52,4,0.21,0.1
S. aureus,CIP,OXA,NS,52,5,0.12,0.1
S. aureus,CIP,OXA,NS,52,6,0.083,0.1
S. aureus,CIP,OXA,NS,52,7,0.029,0.11
S. aureus,CIP,OXA,NS,52,8,0.26,0.095
S. aureus,CIP,OXA,NS,52,9,0.11,0.1
S. aureus,CIP,OXA,NS,52,10,0.17,0.096
S. aureus,CIP,OXA,NS,52,11,0.17,0.096
S. aureus,CIP,OXA,NS,52,12,0.33,0.095
S. aureus,CIP,OXA,NS,52,13,0.033,0.1
S. aureus,CIP,OXA,NS,52,14,-0.061,0.11
S. aureus,CIP,OXA,NS,52,15,-0.015,0.1
S. aureus,CIP,OXA,NS,52,16,0.024,0.11
S. aureus,CIP,OXA,NS,52,17,-0.021,0.1
S. aureus,CIP,OXA,NS,52,18,0.079,0.099
S. aureus,CIP,OXA,NS,52,19,0.18,0.094
S. aureus,CIP,OXA,NS,52,20,0.02,0.11
S. aureus,CIP,OXA,NS,52,21,-0.011,0.11
S. aureus,CIP,OXA,NS,52,22,0.063,0.11
S. aureus,CIP,OXA,NS,52,23,0.026,0.098
S. aureus,CIP,OXA,NS,52,24,-0.31,0.11
S. aureus,CIP,OXA,NS,52,25,0.017,0.11
S. aureus,CIP,OXA,NS,52,26,-0.0037,0.1
S. aureus,CIP,OXA,NS,52,27,-0.058,0.11
S. aureus,CIP,OXA,NS,52,28,-0.18,0.098
S. aureus,CIP,OXA,NS,52,29,-0.14,0.099
S. aureus,CIP,OXA,NS,52,30,-0.12,0.094
S. aureus,CIP,OXA,NS,52,31,-0.17,0.098
S. aureus,CIP,OXA,NS,52,32,-0.0017,0.098
S. aureus,CIP,OXA,NS,52,33,-0.13,0.1
S. aureus,CIP,OXA,NS,52,34,-0.37,0.11
S. aureus,CIP,OXA,NS,52,35,0.0068,0.1
S. aureus,CIP,OXA,NS,52,36,-0.25,0.11
S. aureus,CIP,OXA,NS,52,37,-0.18,0.095
S. aureus,CIP,OXA,NS,52,38,-0.083,0.099
S. aureus,CIP,OXA,NS,52,39,-0.062,0.1
S. aureus,CIP,OXA,NS,52,40,0.045,0.1
S. aureus,CIP,OXA,NS,52,41,-0.26,0.11
S. aureus,CIP,OXA,NS,52,42,-0.043,0.1
S. aureus,CIP,OXA,NS,52,43,-0.038,0.1
S. aureus,CIP,OXA,NS,52,44,-0.077,0.11
S. aureus,CIP,OXA,NS,52,45,0.081,0.099
S. aureus,CIP,OXA,NS,52,46,-0.033,0.1
S. aureus,CIP,OXA,NS,52,47,-0.21,0.11
S. aureus,CIP,OXA,NS,52,48,0.067,0.11
S. aureus,CIP,OXA,NS,52,49,0.17,0.097
S. aureus,CIP,OXA,NS,52,50,0.016,0.1
S. aureus,CIP,OXA,NS,52,51,0.18,0.1
S. aureus,CIP,OXA,NS,52,52,-0.0038,0.11
S. aureus,CIP,OXA,S,52,1,-0.064,0.048
S. aureus,CIP,OXA,S,52,2,0.09,0.054
S. aureus,CIP,OXA,S,52,3,-0.057,0.047
S. aureus,CIP,OXA,S,52,4,-0.0093,0.048
S. aureus,CIP,OXA,S,52,5,-0.049,0.047
S. aureus,CIP,OXA,S,52,6,-0.013,0.05
