organism,drug_code,week,type,mean_deviate
E. coli,CIP,20,Actual mean MIC seasonal deviate,0.045
E. coli,CIP,20,Predicted mean MIC seasonal deviate,-0.005
E. coli,CIP,21,Actual mean MIC seasonal deviate,0.069
E. coli,CIP,21,Predicted mean MIC seasonal deviate,0.0094
E. coli,CIP,22,Actual mean MIC seasonal deviate,0.039
E. coli,CIP,22,Predicted mean MIC seasonal deviate,0.0042
E. coli,CIP,23,Actual mean MIC seasonal deviate,0.0037
E. coli,CIP,23,Predicted mean MIC seasonal deviate,-0.0028
E. coli,CIP,24,Actual mean MIC seasonal deviate,-0.02
E. coli,CIP,24,Predicted mean MIC seasonal deviate,-0.0062
E. coli,CIP,25,Actual mean MIC seasonal deviate,0.041
E. coli,CIP,25,Predicted mean MIC seasonal deviate,0.0082
E. coli,CIP,26,Actual mean MIC seasonal deviate,-0.058
E. coli,CIP,26,Predicted mean MIC seasonal deviate,-0.009
E. coli,CIP,27,Actual mean MIC seasonal deviate,0.034
E. coli,CIP,27,Predicted mean MIC seasonal deviate,0.015
E. coli,CIP,28,Actual mean MIC seasonal deviate,-0.0054
E. coli,CIP,28,Predicted mean MIC seasonal deviate,-0.0087
E. coli,CIP,29,Actual mean MIC seasonal deviate,-0.0012
E. coli,CIP,29,Predicted mean MIC seasonal deviate,-0.016
E. coli,CIP,30,Actual mean MIC seasonal deviate,-0.025
E. coli,CIP,30,Predicted mean MIC seasonal deviate,-0.007
E. coli,CIP,31,Actual mean MIC seasonal deviate,-0.061
E. coli,CIP,31,Predicted mean MIC seasonal deviate,-0.0012
E. coli,CIP,32,Actual mean MIC seasonal deviate,-0.078
E. coli,CIP,32,Predicted mean MIC seasonal deviate,-0.017
E. coli,CIP,33,Actual mean MIC seasonal deviate,-0.089
E. coli,CIP,33,Predicted mean MIC seasonal deviate,-0.0069
E. coli,CIP,34,Actual mean MIC seasonal deviate,-0.034
E. coli,CIP,34,Predicted mean MIC seasonal deviate,0.0018
E. coli,CIP,35,Actual mean MIC seasonal deviate,-0.053
E. coli,CIP,35,Predicted mean MIC seasonal deviate,-0.0088
E. coli,CIP,36,Actual mean MIC seasonal deviate,-0.062
E. coli,CIP,36,Predicted mean MIC seasonal deviate,-0.017
E. coli,CIP,37,Actual mean MIC seasonal deviate,-0.073
E. coli,CIP,37,Predicted mean MIC seasonal deviate,-0.019
E. coli,CIP,38,Actual mean MIC seasonal deviate,-0.094
E. coli,CIP,38,Predicted mean MIC seasonal deviate,-0.012
E. coli,CIP,39,Actual mean MIC seasonal deviate,-0.029
E. coli,CIP,39,Predicted mean MIC seasonal deviate,-0.0095
E. coli,CIP,40,Actual mean MIC seasonal deviate,-0.036
E. coli,CIP,40,Predicted mean MIC seasonal deviate,-0.015
E. coli,CIP,41,Actual mean MIC seasonal deviate,-0.03
E. coli,CIP,41,Predicted mean MIC seasonal deviate,0.0069
E. coli,CIP,42,Actual mean MIC seasonal deviate,0.0064
E. coli,CIP,42,Predicted mean MIC seasonal deviate,0.0025
E. coli,CIP,43,Actual mean MIC seasonal deviate,0.0024
E. coli,CIP,43,Predicted mean MIC seasonal deviate,0.0024
E. coli,CIP,44,Actual mean MIC seasonal deviate,-0.046
E. coli,CIP,44,Predicted mean MIC seasonal deviate,0.014
E. coli,CIP,45,Actual mean MIC seasonal deviate,-0.006
E. coli,CIP,45,Predicted mean MIC seasonal deviate,0.0012
E. coli,CIP,46,Actual mean MIC seasonal deviate,-0.027
E. coli,CIP,46,Predicted mean MIC seasonal deviate,-0.017
E. coli,CIP,47,Actual mean MIC seasonal deviate,-0.041
E. coli,CIP,47,Predicted mean MIC seasonal deviate,-0.0037
E. coli,CIP,48,Actual mean MIC seasonal deviate,-0.068
E. coli,CIP,48,Predicted mean MIC seasonal deviate,0.0074
E. coli,CIP,49,Actual mean MIC seasonal deviate,-0.057
E. coli,CIP,49,Predicted mean MIC seasonal deviate,-0.01
E. coli,CIP,50,Actual mean MIC seasonal deviate,0.037
E. coli,CIP,50,Predicted mean MIC seasonal deviate,0.0025
E. coli,CIP,51,Actual mean MIC seasonal deviate,-0.014
E. coli,CIP,51,Predicted mean MIC seasonal deviate,-6.6e-4
E. coli,CIP,52,Actual mean MIC seasonal deviate,-0.019
E. coli,CIP,52,Predicted mean MIC seasonal deviate,0.031
E. coli,NIT,1,Actual mean MIC seasonal deviate,0.022
E. coli,NIT,1,Predicted mean MIC seasonal deviate,-0.0014
E. coli,NIT,2,Actual mean MIC seasonal deviate,0.019
E. coli,NIT,2,Predicted mean MIC seasonal deviate,-7.6e-4
E. coli,NIT,3,Actual mean MIC seasonal deviate,0.034
E. coli,NIT,3,Predicted mean MIC seasonal deviate,3.3e-4
E. coli,NIT,4,Actual mean MIC seasonal deviate,0.039
E. coli,NIT,4,Predicted mean MIC seasonal deviate,-4.6e-4
E. coli,NIT,5,Actual mean MIC seasonal deviate,0.035
E. coli,NIT,5,Predicted mean MIC seasonal deviate,-6.5e-4
E. coli,NIT,6,Actual mean MIC seasonal deviate,0.036
E. coli,NIT,6,Predicted mean MIC seasonal deviate,-8.3e-4
E. coli,NIT,7,Actual mean MIC seasonal deviate,-0.0053
E. coli,NIT,7,Predicted mean MIC seasonal deviate,-6.3e-4
E. coli,NIT,8,Actual mean MIC seasonal deviate,0.02
E. coli,NIT,8,Predicted mean MIC seasonal deviate,-0.0013
E. coli,NIT,9,Actual mean MIC seasonal deviate,0.021
E. coli,NIT,9,Predicted mean MIC seasonal deviate,-0.0018
E. coli,NIT,10,Actual mean MIC seasonal deviate,0.006
E. coli,NIT,10,Predicted mean MIC seasonal deviate,-6.3e-4
E. coli,NIT,11,Actual mean MIC seasonal deviate,0.025
E. coli,NIT,11,Predicted mean MIC seasonal deviate,-7.8e-5
E. coli,NIT,12,Actual mean MIC seasonal deviate,0.018
E. coli,NIT,12,Predicted mean MIC seasonal deviate,-7.9e-4
E. coli,NIT,13,Actual mean MIC seasonal deviate,0.025
E. coli,NIT,13,Predicted mean MIC seasonal deviate,-6.6e-4
E. coli,NIT,14,Actual mean MIC seasonal deviate,0.019
E. coli,NIT,14,Predicted mean MIC seasonal deviate,-0.002
E. coli,NIT,15,Actual mean MIC seasonal deviate,-8.3e-4
E. coli,NIT,15,Predicted mean MIC seasonal deviate,-6.7e-4
E. coli,NIT,16,Actual mean MIC seasonal deviate,-0.0033
E. coli,NIT,16,Predicted mean MIC seasonal deviate,-1.2e-4
E. coli,NIT,17,Actual mean MIC seasonal deviate,-0.0059
E. coli,NIT,17,Predicted mean MIC seasonal deviate,-0.0011
E. coli,NIT,18,Actual mean MIC seasonal deviate,0.02
E. coli,NIT,18,Predicted mean MIC seasonal deviate,-2e-4
E. coli,NIT,19,Actual mean MIC seasonal deviate,0.031
E. coli,NIT,19,Predicted mean MIC seasonal deviate,-0.001
E. coli,NIT,20,Actual mean MIC seasonal deviate,0.024
E. coli,NIT,20,Predicted mean MIC seasonal deviate,-8.2e-4
E. coli,NIT,21,Actual mean MIC seasonal deviate,0.037
E. coli,NIT,21,Predicted mean MIC seasonal deviate,1.2e-4
E. coli,NIT,22,Actual mean MIC seasonal deviate,1.9e-4
E. coli,NIT,22,Predicted mean MIC seasonal deviate,-4.2e-4
E. coli,NIT,23,Actual mean MIC seasonal deviate,0.023
E. coli,NIT,23,Predicted mean MIC seasonal deviate,5.8e-4
E. coli,NIT,24,Actual mean MIC seasonal deviate,-0.021
E. coli,NIT,24,Predicted mean MIC seasonal deviate,-8.3e-4
E. coli,NIT,25,Actual mean MIC seasonal deviate,0.0032
E. coli,NIT,25,Predicted mean MIC seasonal deviate,3.5e-4
E. coli,NIT,26,Actual mean MIC seasonal deviate,-0.021
E. coli,NIT,26,Predicted mean MIC seasonal deviate,-4.1e-5
E. coli,NIT,27,Actual mean MIC seasonal deviate,-0.014
E. coli,NIT,27,Predicted mean MIC seasonal deviate,8e-4
E. coli,NIT,28,Actual mean MIC seasonal deviate,-0.038
E. coli,NIT,28,Predicted mean MIC seasonal deviate,-3.7e-4
E. coli,NIT,29,Actual mean MIC seasonal deviate,-0.015
E. coli,NIT,29,Predicted mean MIC seasonal deviate,-0.001
E. coli,NIT,30,Actual mean MIC seasonal deviate,-0.0077
E. coli,NIT,30,Predicted mean MIC seasonal deviate,-5.2e-4
E. coli,NIT,31,Actual mean MIC seasonal deviate,-0.0071
E. coli,NIT,31,Predicted mean MIC seasonal deviate,-5e-4
E. coli,NIT,32,Actual mean MIC seasonal deviate,-0.025
E. coli,NIT,32,Predicted mean MIC seasonal deviate,-0.0015
E. coli,NIT,33,Actual mean MIC seasonal deviate,-0.027
E. coli,NIT,33,Predicted mean MIC seasonal deviate,-5.9e-4
E. coli,NIT,34,Actual mean MIC seasonal deviate,-0.034
E. coli,NIT,34,Predicted mean MIC seasonal deviate,5.7e-4
E. coli,NIT,35,Actual mean MIC seasonal deviate,-0.037
E. coli,NIT,35,Predicted mean MIC seasonal deviate,-0.0011
E. coli,NIT,36,Actual mean MIC seasonal deviate,-0.018
E. coli,NIT,36,Predicted mean MIC seasonal deviate,-0.0011
E. coli,NIT,37,Actual mean MIC seasonal deviate,-0.063
E. coli,NIT,37,Predicted mean MIC seasonal deviate,-7.7e-4
E. coli,NIT,38,Actual mean MIC seasonal deviate,-0.041
E. coli,NIT,38,Predicted mean MIC seasonal deviate,-0.0011
E. coli,NIT,39,Actual mean MIC seasonal deviate,-0.017
E. coli,NIT,39,Predicted mean MIC seasonal deviate,-7.2e-4
E. coli,NIT,40,Actual mean MIC seasonal deviate,-0.033
E. coli,NIT,40,Predicted mean MIC seasonal deviate,-9.4e-4
E. coli,NIT,41,Actual mean MIC seasonal deviate,-0.017
E. coli,NIT,41,Predicted mean MIC seasonal deviate,-8.3e-5
E. coli,NIT,42,Actual mean MIC seasonal deviate,-0.0015
E. coli,NIT,42,Predicted mean MIC seasonal deviate,-9.6e-4
E. coli,NIT,43,Actual mean MIC seasonal deviate,-0.021
E. coli,NIT,43,Predicted mean MIC seasonal deviate,5.6e-5
E. coli,NIT,44,Actual mean MIC seasonal deviate,-0.032
E. coli,NIT,44,Predicted mean MIC seasonal deviate,2e-4
E. coli,NIT,45,Actual mean MIC seasonal deviate,-0.0068
E. coli,NIT,45,Predicted mean MIC seasonal deviate,-7.2e-4
E. coli,NIT,46,Actual mean MIC seasonal deviate,0.019
E. coli,NIT,46,Predicted mean MIC seasonal deviate,-9.5e-4
E. coli,NIT,47,Actual mean MIC seasonal deviate,-0.016
E. coli,NIT,47,Predicted mean MIC seasonal deviate,-8.1e-4
E. coli,NIT,48,Actual mean MIC seasonal deviate,-0.0085
E. coli,NIT,48,Predicted mean MIC seasonal deviate,-3.2e-4
E. coli,NIT,49,Actual mean MIC seasonal deviate,0.03
E. coli,NIT,49,Predicted mean MIC seasonal deviate,-0.0014
E. coli,NIT,50,Actual mean MIC seasonal deviate,0.01
E. coli,NIT,50,Predicted mean MIC seasonal deviate,-3.3e-4
E. coli,NIT,51,Actual mean MIC seasonal deviate,0.0045
E. coli,NIT,51,Predicted mean MIC seasonal deviate,3.8e-4
E. coli,NIT,52,Actual mean MIC seasonal deviate,0.0094
E. coli,NIT,52,Predicted mean MIC seasonal deviate,-3.8e-4
K. pneumoniae,CIP,1,Actual mean MIC seasonal deviate,0.013
K. pneumoniae,CIP,1,Predicted mean MIC seasonal deviate,0.012
K. pneumoniae,CIP,2,Actual mean MIC seasonal deviate,0.08
K. pneumoniae,CIP,2,Predicted mean MIC seasonal deviate,-0.0054
K. pneumoniae,CIP,3,Actual mean MIC seasonal deviate,0.14
K. pneumoniae,CIP,3,Predicted mean MIC seasonal deviate,0.004
K. pneumoniae,CIP,4,Actual mean MIC seasonal deviate,-0.015
K. pneumoniae,CIP,4,Predicted mean MIC seasonal deviate,-0.019
K. pneumoniae,CIP,5,Actual mean MIC seasonal deviate,-0.0068
K. pneumoniae,CIP,5,Predicted mean MIC seasonal deviate,0.0067
K. pneumoniae,CIP,6,Actual mean MIC seasonal deviate,0.073
K. pneumoniae,CIP,6,Predicted mean MIC seasonal deviate,0.027
K. pneumoniae,CIP,7,Actual mean MIC seasonal deviate,-0.023
K. pneumoniae,CIP,7,Predicted mean MIC seasonal deviate,-0.019
K. pneumoniae,CIP,8,Actual mean MIC seasonal deviate,0.091
K. pneumoniae,CIP,8,Predicted mean MIC seasonal deviate,0.0035
K. pneumoniae,CIP,9,Actual mean MIC seasonal deviate,-0.0032
K. pneumoniae,CIP,9,Predicted mean MIC seasonal deviate,0.013
K. pneumoniae,CIP,10,Actual mean MIC seasonal deviate,-0.045
K. pneumoniae,CIP,10,Predicted mean MIC seasonal deviate,-4.5e-4
K. pneumoniae,CIP,11,Actual mean MIC seasonal deviate,0.052
K. pneumoniae,CIP,11,Predicted mean MIC seasonal deviate,0.02
K. pneumoniae,CIP,12,Actual mean MIC seasonal deviate,0.14
K. pneumoniae,CIP,12,Predicted mean MIC seasonal deviate,0.0026
K. pneumoniae,CIP,13,Actual mean MIC seasonal deviate,0.11
K. pneumoniae,CIP,13,Predicted mean MIC seasonal deviate,-0.0058
K. pneumoniae,CIP,14,Actual mean MIC seasonal deviate,0.14
K. pneumoniae,CIP,14,Predicted mean MIC seasonal deviate,0.013
K. pneumoniae,CIP,15,Actual mean MIC seasonal deviate,0.047
K. pneumoniae,CIP,15,Predicted mean MIC seasonal deviate,-0.011
K. pneumoniae,CIP,16,Actual mean MIC seasonal deviate,-0.014
K. pneumoniae,CIP,16,Predicted mean MIC seasonal deviate,0.0062
K. pneumoniae,CIP,17,Actual mean MIC seasonal deviate,0.16
K. pneumoniae,CIP,17,Predicted mean MIC seasonal deviate,0.012
K. pneumoniae,CIP,18,Actual mean MIC seasonal deviate,0.013
K. pneumoniae,CIP,18,Predicted mean MIC seasonal deviate,-0.01
K. pneumoniae,CIP,19,Actual mean MIC seasonal deviate,-0.0058
K. pneumoniae,CIP,19,Predicted mean MIC seasonal deviate,-0.0042
K. pneumoniae,CIP,20,Actual mean MIC seasonal deviate,-0.057
K. pneumoniae,CIP,20,Predicted mean MIC seasonal deviate,-0.0011
K. pneumoniae,CIP,21,Actual mean MIC seasonal deviate,-0.013
K. pneumoniae,CIP,21,Predicted mean MIC seasonal deviate,-0.0059
K. pneumoniae,CIP,22,Actual mean MIC seasonal deviate,-0.031
K. pneumoniae,CIP,22,Predicted mean MIC seasonal deviate,-5.5e-4
K. pneumoniae,CIP,23,Actual mean MIC seasonal deviate,-0.041
K. pneumoniae,CIP,23,Predicted mean MIC seasonal deviate,-2.6e-5
K. pneumoniae,CIP,24,Actual mean MIC seasonal deviate,-0.13
K. pneumoniae,CIP,24,Predicted mean MIC seasonal deviate,-0.0037
K. pneumoniae,CIP,25,Actual mean MIC seasonal deviate,0.058
K. pneumoniae,CIP,25,Predicted mean MIC seasonal deviate,-0.032
K. pneumoniae,CIP,26,Actual mean MIC seasonal deviate,-0.015
K. pneumoniae,CIP,26,Predicted mean MIC seasonal deviate,-0.012
K. pneumoniae,CIP,27,Actual mean MIC seasonal deviate,-0.04
K. pneumoniae,CIP,27,Predicted mean MIC seasonal deviate,-0.027
K. pneumoniae,CIP,28,Actual mean MIC seasonal deviate,-0.028
K. pneumoniae,CIP,28,Predicted mean MIC seasonal deviate,0.0033
K. pneumoniae,CIP,29,Actual mean MIC seasonal deviate,-0.049
K. pneumoniae,CIP,29,Predicted mean MIC seasonal deviate,-0.0075
K. pneumoniae,CIP,30,Actual mean MIC seasonal deviate,-0.079
K. pneumoniae,CIP,30,Predicted mean MIC seasonal deviate,-0.017
K. pneumoniae,CIP,31,Actual mean MIC seasonal deviate,0.025
K. pneumoniae,CIP,31,Predicted mean MIC seasonal deviate,-0.013
K. pneumoniae,CIP,32,Actual mean MIC seasonal deviate,-0.052
K. pneumoniae,CIP,32,Predicted mean MIC seasonal deviate,0.019
K. pneumoniae,CIP,33,Actual mean MIC seasonal deviate,-0.11
K. pneumoniae,CIP,33,Predicted mean MIC seasonal deviate,-0.0094
K. pneumoniae,CIP,34,Actual mean MIC seasonal deviate,-0.031
K. pneumoniae,CIP,34,Predicted mean MIC seasonal deviate,-0.01
K. pneumoniae,CIP,35,Actual mean MIC seasonal deviate,-0.11
K. pneumoniae,CIP,35,Predicted mean MIC seasonal deviate,-0.0014
K. pneumoniae,CIP,36,Actual mean MIC seasonal deviate,0.023
K. pneumoniae,CIP,36,Predicted mean MIC seasonal deviate,-0.0057
K. pneumoniae,CIP,37,Actual mean MIC seasonal deviate,-0.052
K. pneumoniae,CIP,37,Predicted mean MIC seasonal deviate,-0.026
K. pneumoniae,CIP,38,Actual mean MIC seasonal deviate,-0.031
K. pneumoniae,CIP,38,Predicted mean MIC seasonal deviate,-0.019
K. pneumoniae,CIP,39,Actual mean MIC seasonal deviate,-0.035
K. pneumoniae,CIP,39,Predicted mean MIC seasonal deviate,-0.0096
K. pneumoniae,CIP,40,Actual mean MIC seasonal deviate,0.026
K. pneumoniae,CIP,40,Predicted mean MIC seasonal deviate,-0.0062
K. pneumoniae,CIP,41,Actual mean MIC seasonal deviate,-0.046
K. pneumoniae,CIP,41,Predicted mean MIC seasonal deviate,0.011
K. pneumoniae,CIP,42,Actual mean MIC seasonal deviate,-0.12
K. pneumoniae,CIP,42,Predicted mean MIC seasonal deviate,-0.033
K. pneumoniae,CIP,43,Actual mean MIC seasonal deviate,-0.073
K. pneumoniae,CIP,43,Predicted mean MIC seasonal deviate,-0.014
K. pneumoniae,CIP,44,Actual mean MIC seasonal deviate,0.065
K. pneumoniae,CIP,44,Predicted mean MIC seasonal deviate,0.0056
K. pneumoniae,CIP,45,Actual mean MIC seasonal deviate,-0.084
K. pneumoniae,CIP,45,Predicted mean MIC seasonal deviate,-0.013
K. pneumoniae,CIP,46,Actual mean MIC seasonal deviate,-0.019
K. pneumoniae,CIP,46,Predicted mean MIC seasonal deviate,-0.021
K. pneumoniae,CIP,47,Actual mean MIC seasonal deviate,0.048
K. pneumoniae,CIP,47,Predicted mean MIC seasonal deviate,-0.006
K. pneumoniae,CIP,48,Actual mean MIC seasonal deviate,-0.035
K. pneumoniae,CIP,48,Predicted mean MIC seasonal deviate,0.0017
K. pneumoniae,CIP,49,Actual mean MIC seasonal deviate,-0.03
K. pneumoniae,CIP,49,Predicted mean MIC seasonal deviate,-0.0078
K. pneumoniae,CIP,50,Actual mean MIC seasonal deviate,0.019
K. pneumoniae,CIP,50,Predicted mean MIC seasonal deviate,-0.012
K. pneumoniae,CIP,51,Actual mean MIC seasonal deviate,-0.026
